36.204, 1901, Jan Average, Austria, AUT
48.3746, 1901, Feb Average, Austria, AUT
108.102, 1901, Mar Average, Austria, AUT
111.845, 1901, Apr Average, Austria, AUT
78.2751, 1901, May Average, Austria, AUT
144.698, 1901, Jun Average, Austria, AUT
131.25, 1901, Jul Average, Austria, AUT
118.527, 1901, Aug Average, Austria, AUT
131.572, 1901, Sep Average, Austria, AUT
69.4149, 1901, Oct Average, Austria, AUT
70.3658, 1901, Nov Average, Austria, AUT
94.928, 1901, Dec Average, Austria, AUT
65.6375, 1902, Jan Average, Austria, AUT
83.6761, 1902, Feb Average, Austria, AUT
94.8708, 1902, Mar Average, Austria, AUT
51.6798, 1902, Apr Average, Austria, AUT
141.514, 1902, May Average, Austria, AUT
134.824, 1902, Jun Average, Austria, AUT
145.544, 1902, Jul Average, Austria, AUT
109.224, 1902, Aug Average, Austria, AUT
77.7862, 1902, Sep Average, Austria, AUT
107.822, 1902, Oct Average, Austria, AUT
14.1983, 1902, Nov Average, Austria, AUT
101.296, 1902, Dec Average, Austria, AUT
74.8783, 1903, Jan Average, Austria, AUT
37.6317, 1903, Feb Average, Austria, AUT
47.7741, 1903, Mar Average, Austria, AUT
121.189, 1903, Apr Average, Austria, AUT
65.9895, 1903, May Average, Austria, AUT
107.73, 1903, Jun Average, Austria, AUT
205.546, 1903, Jul Average, Austria, AUT
137.284, 1903, Aug Average, Austria, AUT
110.136, 1903, Sep Average, Austria, AUT
140.369, 1903, Oct Average, Austria, AUT
135.27, 1903, Nov Average, Austria, AUT
85.9161, 1903, Dec Average, Austria, AUT
25.1648, 1904, Jan Average, Austria, AUT
110.569, 1904, Feb Average, Austria, AUT
81.9327, 1904, Mar Average, Austria, AUT
99.3139, 1904, Apr Average, Austria, AUT
110.697, 1904, May Average, Austria, AUT
126.733, 1904, Jun Average, Austria, AUT
72.1394, 1904, Jul Average, Austria, AUT
122.821, 1904, Aug Average, Austria, AUT
153.584, 1904, Sep Average, Austria, AUT
123.792, 1904, Oct Average, Austria, AUT
99.5032, 1904, Nov Average, Austria, AUT
87.2584, 1904, Dec Average, Austria, AUT
67.6666, 1905, Jan Average, Austria, AUT
85.4283, 1905, Feb Average, Austria, AUT
89.3904, 1905, Mar Average, Austria, AUT
88.1995, 1905, Apr Average, Austria, AUT
103.077, 1905, May Average, Austria, AUT
89.3492, 1905, Jun Average, Austria, AUT
101.825, 1905, Jul Average, Austria, AUT
188.648, 1905, Aug Average, Austria, AUT
79.1652, 1905, Sep Average, Austria, AUT
117.798, 1905, Oct Average, Austria, AUT
167.636, 1905, Nov Average, Austria, AUT
27.3427, 1905, Dec Average, Austria, AUT
55.5319, 1906, Jan Average, Austria, AUT
74.0868, 1906, Feb Average, Austria, AUT
99.6324, 1906, Mar Average, Austria, AUT
85.257, 1906, Apr Average, Austria, AUT
104.368, 1906, May Average, Austria, AUT
149.247, 1906, Jun Average, Austria, AUT
178.053, 1906, Jul Average, Austria, AUT
104.524, 1906, Aug Average, Austria, AUT
148.391, 1906, Sep Average, Austria, AUT
53.6266, 1906, Oct Average, Austria, AUT
118.436, 1906, Nov Average, Austria, AUT
104.573, 1906, Dec Average, Austria, AUT
90.8106, 1907, Jan Average, Austria, AUT
36.2331, 1907, Feb Average, Austria, AUT
75.429, 1907, Mar Average, Austria, AUT
152.983, 1907, Apr Average, Austria, AUT
92.9452, 1907, May Average, Austria, AUT
105.768, 1907, Jun Average, Austria, AUT
162.387, 1907, Jul Average, Austria, AUT
116.284, 1907, Aug Average, Austria, AUT
70.6315, 1907, Sep Average, Austria, AUT
116.657, 1907, Oct Average, Austria, AUT
36.2416, 1907, Nov Average, Austria, AUT
100.359, 1907, Dec Average, Austria, AUT
