10.7111, 1901, Jan Average, Algeria, DZA
11.2564, 1901, Feb Average, Algeria, DZA
8.48546, 1901, Mar Average, Algeria, DZA
5.34105, 1901, Apr Average, Algeria, DZA
11.0473, 1901, May Average, Algeria, DZA
2.45341, 1901, Jun Average, Algeria, DZA
3.12252, 1901, Jul Average, Algeria, DZA
4.89737, 1901, Aug Average, Algeria, DZA
8.66387, 1901, Sep Average, Algeria, DZA
19.3932, 1901, Oct Average, Algeria, DZA
12.2979, 1901, Nov Average, Algeria, DZA
15.7832, 1901, Dec Average, Algeria, DZA
5.40547, 1902, Jan Average, Algeria, DZA
11.1454, 1902, Feb Average, Algeria, DZA
10.0081, 1902, Mar Average, Algeria, DZA
6.61178, 1902, Apr Average, Algeria, DZA
7.79011, 1902, May Average, Algeria, DZA
3.57897, 1902, Jun Average, Algeria, DZA
3.82684, 1902, Jul Average, Algeria, DZA
3.48822, 1902, Aug Average, Algeria, DZA
6.58805, 1902, Sep Average, Algeria, DZA
15.2386, 1902, Oct Average, Algeria, DZA
14.0474, 1902, Nov Average, Algeria, DZA
11.9591, 1902, Dec Average, Algeria, DZA
8.89526, 1903, Jan Average, Algeria, DZA
2.8471, 1903, Feb Average, Algeria, DZA
7.64151, 1903, Mar Average, Algeria, DZA
4.82821, 1903, Apr Average, Algeria, DZA
5.86833, 1903, May Average, Algeria, DZA
3.7206, 1903, Jun Average, Algeria, DZA
2.1661, 1903, Jul Average, Algeria, DZA
2.11555, 1903, Aug Average, Algeria, DZA
5.63321, 1903, Sep Average, Algeria, DZA
5.4094, 1903, Oct Average, Algeria, DZA
8.71937, 1903, Nov Average, Algeria, DZA
17.8794, 1903, Dec Average, Algeria, DZA
25.1144, 1904, Jan Average, Algeria, DZA
14.0576, 1904, Feb Average, Algeria, DZA
18.2954, 1904, Mar Average, Algeria, DZA
13.9397, 1904, Apr Average, Algeria, DZA
2.4507, 1904, May Average, Algeria, DZA
4.60238, 1904, Jun Average, Algeria, DZA
2.11529, 1904, Jul Average, Algeria, DZA
2.97959, 1904, Aug Average, Algeria, DZA
4.36233, 1904, Sep Average, Algeria, DZA
7.44077, 1904, Oct Average, Algeria, DZA
8.02737, 1904, Nov Average, Algeria, DZA
12.4222, 1904, Dec Average, Algeria, DZA
7.53667, 1905, Jan Average, Algeria, DZA
5.75573, 1905, Feb Average, Algeria, DZA
4.84387, 1905, Mar Average, Algeria, DZA
7.5784, 1905, Apr Average, Algeria, DZA
14.9933, 1905, May Average, Algeria, DZA
3.75502, 1905, Jun Average, Algeria, DZA
2.63475, 1905, Jul Average, Algeria, DZA
2.65772, 1905, Aug Average, Algeria, DZA
2.42843, 1905, Sep Average, Algeria, DZA
15.8702, 1905, Oct Average, Algeria, DZA
10.4563, 1905, Nov Average, Algeria, DZA
13.7578, 1905, Dec Average, Algeria, DZA
16.608, 1906, Jan Average, Algeria, DZA
9.61631, 1906, Feb Average, Algeria, DZA
8.83625, 1906, Mar Average, Algeria, DZA
8.48499, 1906, Apr Average, Algeria, DZA
8.21597, 1906, May Average, Algeria, DZA
3.31076, 1906, Jun Average, Algeria, DZA
3.38494, 1906, Jul Average, Algeria, DZA
3.29465, 1906, Aug Average, Algeria, DZA
7.31516, 1906, Sep Average, Algeria, DZA
6.33379, 1906, Oct Average, Algeria, DZA
8.285, 1906, Nov Average, Algeria, DZA
12.03, 1906, Dec Average, Algeria, DZA
6.89571, 1907, Jan Average, Algeria, DZA
13.7485, 1907, Feb Average, Algeria, DZA
7.43066, 1907, Mar Average, Algeria, DZA
8.56467, 1907, Apr Average, Algeria, DZA
4.8839, 1907, May Average, Algeria, DZA
1.65223, 1907, Jun Average, Algeria, DZA
1.54578, 1907, Jul Average, Algeria, DZA
3.35631, 1907, Aug Average, Algeria, DZA
9.59765, 1907, Sep Average, Algeria, DZA
7.70983, 1907, Oct Average, Algeria, DZA
16.3995, 1907, Nov Average, Algeria, DZA
4.16358, 1907, Dec Average, Algeria, DZA
9.52262, 1908, Jan Average, Algeria, DZA
11.5125, 1908, Feb Average, Algeria, DZA
18.8804, 1908, Mar Average, Algeria, DZA
7.03988, 1908, Apr Average, Algeria, DZA
8.06805, 1908, May Average, Algeria, DZA
3.61939, 1908, Jun Average, Algeria, DZA
2.52466, 1908, Jul Average, Algeria, DZA
3.65393, 1908, Aug Average, Algeria, DZA
5.29759, 1908, Sep Average, Algeria, DZA
12.6052, 1908, Oct Average, Algeria, DZA
7.13848, 1908, Nov Average, Algeria, DZA
10.8096, 1908, Dec Average, Algeria, DZA
10.0673, 1909, Jan Average, Algeria, DZA
6.15367, 1909, Feb Average, Algeria, DZA
8.82591, 1909, Mar Average, Algeria, DZA
9.57389, 1909, Apr Average, Algeria, DZA
