15.4526, 1901, Jan Average, Kenya, KEN
70.7127, 1901, Feb Average, Kenya, KEN
61.4236, 1901, Mar Average, Kenya, KEN
164.405, 1901, Apr Average, Kenya, KEN
68.4718, 1901, May Average, Kenya, KEN
19.5967, 1901, Jun Average, Kenya, KEN
23.779, 1901, Jul Average, Kenya, KEN
9.97236, 1901, Aug Average, Kenya, KEN
22.5159, 1901, Sep Average, Kenya, KEN
27.3135, 1901, Oct Average, Kenya, KEN
95.5871, 1901, Nov Average, Kenya, KEN
68.2771, 1901, Dec Average, Kenya, KEN
5.52473, 1902, Jan Average, Kenya, KEN
50.254, 1902, Feb Average, Kenya, KEN
33.9062, 1902, Mar Average, Kenya, KEN
112.32, 1902, Apr Average, Kenya, KEN
86.666, 1902, May Average, Kenya, KEN
37.1181, 1902, Jun Average, Kenya, KEN
58.0328, 1902, Jul Average, Kenya, KEN
28.2972, 1902, Aug Average, Kenya, KEN
21.6382, 1902, Sep Average, Kenya, KEN
74.7038, 1902, Oct Average, Kenya, KEN
147.965, 1902, Nov Average, Kenya, KEN
69.7052, 1902, Dec Average, Kenya, KEN
54.0228, 1903, Jan Average, Kenya, KEN
47.7264, 1903, Feb Average, Kenya, KEN
44.5925, 1903, Mar Average, Kenya, KEN
127.974, 1903, Apr Average, Kenya, KEN
84.2513, 1903, May Average, Kenya, KEN
63.5336, 1903, Jun Average, Kenya, KEN
30.755, 1903, Jul Average, Kenya, KEN
19.9303, 1903, Aug Average, Kenya, KEN
37.3855, 1903, Sep Average, Kenya, KEN
39.035, 1903, Oct Average, Kenya, KEN
33.3874, 1903, Nov Average, Kenya, KEN
58.6671, 1903, Dec Average, Kenya, KEN
18.8326, 1904, Jan Average, Kenya, KEN
16.179, 1904, Feb Average, Kenya, KEN
55.9583, 1904, Mar Average, Kenya, KEN
101.123, 1904, Apr Average, Kenya, KEN
112.165, 1904, May Average, Kenya, KEN
39.3593, 1904, Jun Average, Kenya, KEN
32.6727, 1904, Jul Average, Kenya, KEN
36.0399, 1904, Aug Average, Kenya, KEN
20.3187, 1904, Sep Average, Kenya, KEN
54.5315, 1904, Oct Average, Kenya, KEN
118.012, 1904, Nov Average, Kenya, KEN
58.2679, 1904, Dec Average, Kenya, KEN
30.3433, 1905, Jan Average, Kenya, KEN
7.61584, 1905, Feb Average, Kenya, KEN
180.473, 1905, Mar Average, Kenya, KEN
110.18, 1905, Apr Average, Kenya, KEN
83.2168, 1905, May Average, Kenya, KEN
27.7486, 1905, Jun Average, Kenya, KEN
23.3756, 1905, Jul Average, Kenya, KEN
32.4316, 1905, Aug Average, Kenya, KEN
27.7376, 1905, Sep Average, Kenya, KEN
65.9362, 1905, Oct Average, Kenya, KEN
111.866, 1905, Nov Average, Kenya, KEN
46.7703, 1905, Dec Average, Kenya, KEN
9.11599, 1906, Jan Average, Kenya, KEN
63.8647, 1906, Feb Average, Kenya, KEN
134.4, 1906, Mar Average, Kenya, KEN
191.231, 1906, Apr Average, Kenya, KEN
93.4018, 1906, May Average, Kenya, KEN
63.6766, 1906, Jun Average, Kenya, KEN
23.8117, 1906, Jul Average, Kenya, KEN
41.3805, 1906, Aug Average, Kenya, KEN
24.0409, 1906, Sep Average, Kenya, KEN
61.4596, 1906, Oct Average, Kenya, KEN
