204.289, 1901, Jan Average, Malawi, MWI
206.912, 1901, Feb Average, Malawi, MWI
182.094, 1901, Mar Average, Malawi, MWI
190.177, 1901, Apr Average, Malawi, MWI
28.8918, 1901, May Average, Malawi, MWI
29.5477, 1901, Jun Average, Malawi, MWI
3.05811, 1901, Jul Average, Malawi, MWI
1.04871, 1901, Aug Average, Malawi, MWI
14.5426, 1901, Sep Average, Malawi, MWI
42.2485, 1901, Oct Average, Malawi, MWI
42.8461, 1901, Nov Average, Malawi, MWI
183, 1901, Dec Average, Malawi, MWI
345.791, 1902, Jan Average, Malawi, MWI
182.709, 1902, Feb Average, Malawi, MWI
261.709, 1902, Mar Average, Malawi, MWI
111.113, 1902, Apr Average, Malawi, MWI
50.1244, 1902, May Average, Malawi, MWI
1.77827, 1902, Jun Average, Malawi, MWI
2.20009, 1902, Jul Average, Malawi, MWI
2.47424, 1902, Aug Average, Malawi, MWI
4.63503, 1902, Sep Average, Malawi, MWI
11.5611, 1902, Oct Average, Malawi, MWI
66.3968, 1902, Nov Average, Malawi, MWI
124.52, 1902, Dec Average, Malawi, MWI
261.129, 1903, Jan Average, Malawi, MWI
141.403, 1903, Feb Average, Malawi, MWI
127.757, 1903, Mar Average, Malawi, MWI
97.1698, 1903, Apr Average, Malawi, MWI
86.625, 1903, May Average, Malawi, MWI
6.14798, 1903, Jun Average, Malawi, MWI
3.03682, 1903, Jul Average, Malawi, MWI
1.01452, 1903, Aug Average, Malawi, MWI
5.14048, 1903, Sep Average, Malawi, MWI
6.32294, 1903, Oct Average, Malawi, MWI
65.6581, 1903, Nov Average, Malawi, MWI
204.398, 1903, Dec Average, Malawi, MWI
332.474, 1904, Jan Average, Malawi, MWI
240.082, 1904, Feb Average, Malawi, MWI
239.558, 1904, Mar Average, Malawi, MWI
119.184, 1904, Apr Average, Malawi, MWI
82.8492, 1904, May Average, Malawi, MWI
7.48192, 1904, Jun Average, Malawi, MWI
12.7603, 1904, Jul Average, Malawi, MWI
0.51998, 1904, Aug Average, Malawi, MWI
4.63822, 1904, Sep Average, Malawi, MWI
27.9388, 1904, Oct Average, Malawi, MWI
32.0792, 1904, Nov Average, Malawi, MWI
327.893, 1904, Dec Average, Malawi, MWI
227.485, 1905, Jan Average, Malawi, MWI
286.177, 1905, Feb Average, Malawi, MWI
158.473, 1905, Mar Average, Malawi, MWI
37.5437, 1905, Apr Average, Malawi, MWI
9.59199, 1905, May Average, Malawi, MWI
0.89899, 1905, Jun Average, Malawi, MWI
5.18064, 1905, Jul Average, Malawi, MWI
3.92222, 1905, Aug Average, Malawi, MWI
5.78226, 1905, Sep Average, Malawi, MWI
12.9921, 1905, Oct Average, Malawi, MWI
171.62, 1905, Nov Average, Malawi, MWI
206.656, 1905, Dec Average, Malawi, MWI
296.911, 1906, Jan Average, Malawi, MWI
235.705, 1906, Feb Average, Malawi, MWI
190.644, 1906, Mar Average, Malawi, MWI
50.1193, 1906, Apr Average, Malawi, MWI
37.2827, 1906, May Average, Malawi, MWI
2.82532, 1906, Jun Average, Malawi, MWI
9.97438, 1906, Jul Average, Malawi, MWI
1.3106, 1906, Aug Average, Malawi, MWI
3.76444, 1906, Sep Average, Malawi, MWI
33.2804, 1906, Oct Average, Malawi, MWI
71.0908, 1906, Nov Average, Malawi, MWI
142.458, 1906, Dec Average, Malawi, MWI
190.165, 1907, Jan Average, Malawi, MWI
245.181, 1907, Feb Average, Malawi, MWI
162.648, 1907, Mar Average, Malawi, MWI
177.046, 1907, Apr Average, Malawi, MWI
36.8984, 1907, May Average, Malawi, MWI
12.326, 1907, Jun Average, Malawi, MWI
11.1643, 1907, Jul Average, Malawi, MWI
0.37139, 1907, Aug Average, Malawi, MWI
0.46467, 1907, Sep Average, Malawi, MWI
12.9172, 1907, Oct Average, Malawi, MWI
87.012, 1907, Nov Average, Malawi, MWI
252.15, 1907, Dec Average, Malawi, MWI
220.953, 1908, Jan Average, Malawi, MWI
263.926, 1908, Feb Average, Malawi, MWI
150.431, 1908, Mar Average, Malawi, MWI
141.49, 1908, Apr Average, Malawi, MWI
28.2344, 1908, May Average, Malawi, MWI
5.85209, 1908, Jun Average, Malawi, MWI
8.59373, 1908, Jul Average, Malawi, MWI
3.06568, 1908, Aug Average, Malawi, MWI
1.71241, 1908, Sep Average, Malawi, MWI
10.57, 1908, Oct Average, Malawi, MWI
83.8596, 1908, Nov Average, Malawi, MWI
267.001, 1908, Dec Average, Malawi, MWI
252.705, 1909, Jan Average, Malawi, MWI
201.342, 1909, Feb Average, Malawi, MWI
184.119, 1909, Mar Average, Malawi, MWI
70.2325, 1909, Apr Average, Malawi, MWI
63.9892, 1909, May Average, Malawi, MWI
13.6931, 1909, Jun Average, Malawi, MWI
3.17473, 1909, Jul Average, Malawi, MWI
2.56288, 1909, Aug Average, Malawi, MWI
5.86296, 1909, Sep Average, Malawi, MWI
13.593, 1909, Oct Average, Malawi, MWI
29.7656, 1909, Nov Average, Malawi, MWI
63.7557, 1909, Dec Average, Malawi, MWI
199.829, 1910, Jan Average, Malawi, MWI
242.347, 1910, Feb Average, Malawi, MWI
212.115, 1910, Mar Average, Malawi, MWI
134.02, 1910, Apr Average, Malawi, MWI
13.7009, 1910, May Average, Malawi, MWI
7.06484, 1910, Jun Average, Malawi, MWI
4.97262, 1910, Jul Average, Malawi, MWI
2.25155, 1910, Aug Average, Malawi, MWI
1.3071, 1910, Sep Average, Malawi, MWI
11.631, 1910, Oct Average, Malawi, MWI
42.3546, 1910, Nov Average, Malawi, MWI
222.316, 1910, Dec Average, Malawi, MWI
201.973, 1911, Jan Average, Malawi, MWI
207.156, 1911, Feb Average, Malawi, MWI
167.964, 1911, Mar Average, Malawi, MWI
76.1604, 1911, Apr Average, Malawi, MWI
58.2893, 1911, May Average, Malawi, MWI
16.841, 1911, Jun Average, Malawi, MWI
5.18031, 1911, Jul Average, Malawi, MWI
2.33504, 1911, Aug Average, Malawi, MWI
4.83029, 1911, Sep Average, Malawi, MWI
14.9061, 1911, Oct Average, Malawi, MWI
55.7715, 1911, Nov Average, Malawi, MWI
167.077, 1911, Dec Average, Malawi, MWI
230.427, 1912, Jan Average, Malawi, MWI
169.556, 1912, Feb Average, Malawi, MWI
127.02, 1912, Mar Average, Malawi, MWI
26.8658, 1912, Apr Average, Malawi, MWI
21.28, 1912, May Average, Malawi, MWI
11.1206, 1912, Jun Average, Malawi, MWI
7.49137, 1912, Jul Average, Malawi, MWI
1.51506, 1912, Aug Average, Malawi, MWI
3.26397, 1912, Sep Average, Malawi, MWI
11.9916, 1912, Oct Average, Malawi, MWI
38.803, 1912, Nov Average, Malawi, MWI
253.544, 1912, Dec Average, Malawi, MWI
195.694, 1913, Jan Average, Malawi, MWI
183.753, 1913, Feb Average, Malawi, MWI
283, 1913, Mar Average, Malawi, MWI
116.404, 1913, Apr Average, Malawi, MWI
61.8167, 1913, May Average, Malawi, MWI
22.3304, 1913, Jun Average, Malawi, MWI
0.75344, 1913, Jul Average, Malawi, MWI
1.19215, 1913, Aug Average, Malawi, MWI
1.56695, 1913, Sep Average, Malawi, MWI
7.51052, 1913, Oct Average, Malawi, MWI
58.5345, 1913, Nov Average, Malawi, MWI
164.116, 1913, Dec Average, Malawi, MWI
207.737, 1914, Jan Average, Malawi, MWI
205.315, 1914, Feb Average, Malawi, MWI
191.614, 1914, Mar Average, Malawi, MWI
127.009, 1914, Apr Average, Malawi, MWI
9.22313, 1914, May Average, Malawi, MWI
9.10922, 1914, Jun Average, Malawi, MWI
9.86411, 1914, Jul Average, Malawi, MWI
5.62524, 1914, Aug Average, Malawi, MWI
1.374, 1914, Sep Average, Malawi, MWI
8.59, 1914, Oct Average, Malawi, MWI
75.369, 1914, Nov Average, Malawi, MWI
127.843, 1914, Dec Average, Malawi, MWI
201.696, 1915, Jan Average, Malawi, MWI
204.013, 1915, Feb Average, Malawi, MWI
203.348, 1915, Mar Average, Malawi, MWI
81.1724, 1915, Apr Average, Malawi, MWI
15.8289, 1915, May Average, Malawi, MWI
11.2831, 1915, Jun Average, Malawi, MWI
0.36317, 1915, Jul Average, Malawi, MWI
2.31942, 1915, Aug Average, Malawi, MWI
3.3543, 1915, Sep Average, Malawi, MWI
7.14688, 1915, Oct Average, Malawi, MWI
40.565, 1915, Nov Average, Malawi, MWI
186.792, 1915, Dec Average, Malawi, MWI
211.565, 1916, Jan Average, Malawi, MWI
183.377, 1916, Feb Average, Malawi, MWI
151.04, 1916, Mar Average, Malawi, MWI
130.176, 1916, Apr Average, Malawi, MWI
35.593, 1916, May Average, Malawi, MWI
6.81883, 1916, Jun Average, Malawi, MWI
0.39236, 1916, Jul Average, Malawi, MWI
1.21155, 1916, Aug Average, Malawi, MWI
2.75383, 1916, Sep Average, Malawi, MWI
17.8899, 1916, Oct Average, Malawi, MWI
116.237, 1916, Nov Average, Malawi, MWI
292.901, 1916, Dec Average, Malawi, MWI
214.192, 1917, Jan Average, Malawi, MWI
186.508, 1917, Feb Average, Malawi, MWI
217.161, 1917, Mar Average, Malawi, MWI
126.736, 1917, Apr Average, Malawi, MWI
24.1104, 1917, May Average, Malawi, MWI
3.49555, 1917, Jun Average, Malawi, MWI
2.70448, 1917, Jul Average, Malawi, MWI
2.54213, 1917, Aug Average, Malawi, MWI
3.57838, 1917, Sep Average, Malawi, MWI
15.1981, 1917, Oct Average, Malawi, MWI
83.1983, 1917, Nov Average, Malawi, MWI
179.212, 1917, Dec Average, Malawi, MWI
215.769, 1918, Jan Average, Malawi, MWI
195.71, 1918, Feb Average, Malawi, MWI
205.025, 1918, Mar Average, Malawi, MWI
70.2674, 1918, Apr Average, Malawi, MWI
23.3383, 1918, May Average, Malawi, MWI
9.25412, 1918, Jun Average, Malawi, MWI
5.77469, 1918, Jul Average, Malawi, MWI
7.13659, 1918, Aug Average, Malawi, MWI
0.00423, 1918, Sep Average, Malawi, MWI
3.05402, 1918, Oct Average, Malawi, MWI
97.1332, 1918, Nov Average, Malawi, MWI
87.1058, 1918, Dec Average, Malawi, MWI
252.962, 1919, Jan Average, Malawi, MWI
247.719, 1919, Feb Average, Malawi, MWI
147.566, 1919, Mar Average, Malawi, MWI
42.3003, 1919, Apr Average, Malawi, MWI
26.9769, 1919, May Average, Malawi, MWI
2.2465, 1919, Jun Average, Malawi, MWI
2.97776, 1919, Jul Average, Malawi, MWI
1.31099, 1919, Aug Average, Malawi, MWI
2.86308, 1919, Sep Average, Malawi, MWI
29.8969, 1919, Oct Average, Malawi, MWI
47.2496, 1919, Nov Average, Malawi, MWI
172.58, 1919, Dec Average, Malawi, MWI
182.985, 1920, Jan Average, Malawi, MWI
233.732, 1920, Feb Average, Malawi, MWI
330.905, 1920, Mar Average, Malawi, MWI
33.9047, 1920, Apr Average, Malawi, MWI
