166.357, 1901, Jan Average, Tanzania, United Republic of, TZA
166.161, 1901, Feb Average, Tanzania, United Republic of, TZA
103.281, 1901, Mar Average, Tanzania, United Republic of, TZA
180.862, 1901, Apr Average, Tanzania, United Republic of, TZA
52.8278, 1901, May Average, Tanzania, United Republic of, TZA
8.08646, 1901, Jun Average, Tanzania, United Republic of, TZA
10.0832, 1901, Jul Average, Tanzania, United Republic of, TZA
3.86589, 1901, Aug Average, Tanzania, United Republic of, TZA
11.049, 1901, Sep Average, Tanzania, United Republic of, TZA
12.6252, 1901, Oct Average, Tanzania, United Republic of, TZA
39.7178, 1901, Nov Average, Tanzania, United Republic of, TZA
67.2781, 1901, Dec Average, Tanzania, United Republic of, TZA
94.8326, 1902, Jan Average, Tanzania, United Republic of, TZA
108.253, 1902, Feb Average, Tanzania, United Republic of, TZA
135.151, 1902, Mar Average, Tanzania, United Republic of, TZA
147.236, 1902, Apr Average, Tanzania, United Republic of, TZA
64.7818, 1902, May Average, Tanzania, United Republic of, TZA
25.5401, 1902, Jun Average, Tanzania, United Republic of, TZA
9.56615, 1902, Jul Average, Tanzania, United Republic of, TZA
8.44384, 1902, Aug Average, Tanzania, United Republic of, TZA
21.3168, 1902, Sep Average, Tanzania, United Republic of, TZA
33.5926, 1902, Oct Average, Tanzania, United Republic of, TZA
94.2432, 1902, Nov Average, Tanzania, United Republic of, TZA
147.684, 1902, Dec Average, Tanzania, United Republic of, TZA
169.84, 1903, Jan Average, Tanzania, United Republic of, TZA
187.396, 1903, Feb Average, Tanzania, United Republic of, TZA
186.179, 1903, Mar Average, Tanzania, United Republic of, TZA
209.441, 1903, Apr Average, Tanzania, United Republic of, TZA
103.761, 1903, May Average, Tanzania, United Republic of, TZA
16.9276, 1903, Jun Average, Tanzania, United Republic of, TZA
6.15252, 1903, Jul Average, Tanzania, United Republic of, TZA
10.8954, 1903, Aug Average, Tanzania, United Republic of, TZA
18.5365, 1903, Sep Average, Tanzania, United Republic of, TZA
24.7114, 1903, Oct Average, Tanzania, United Republic of, TZA
53.8257, 1903, Nov Average, Tanzania, United Republic of, TZA
158.101, 1903, Dec Average, Tanzania, United Republic of, TZA
200.781, 1904, Jan Average, Tanzania, United Republic of, TZA
151.093, 1904, Feb Average, Tanzania, United Republic of, TZA
201.578, 1904, Mar Average, Tanzania, United Republic of, TZA
217.994, 1904, Apr Average, Tanzania, United Republic of, TZA
100.362, 1904, May Average, Tanzania, United Republic of, TZA
18.7436, 1904, Jun Average, Tanzania, United Republic of, TZA
9.26081, 1904, Jul Average, Tanzania, United Republic of, TZA
10.6462, 1904, Aug Average, Tanzania, United Republic of, TZA
10.3515, 1904, Sep Average, Tanzania, United Republic of, TZA
20.1025, 1904, Oct Average, Tanzania, United Republic of, TZA
78.0002, 1904, Nov Average, Tanzania, United Republic of, TZA
146.256, 1904, Dec Average, Tanzania, United Republic of, TZA
164.523, 1905, Jan Average, Tanzania, United Republic of, TZA
73.0673, 1905, Feb Average, Tanzania, United Republic of, TZA
185.649, 1905, Mar Average, Tanzania, United Republic of, TZA
226.361, 1905, Apr Average, Tanzania, United Republic of, TZA
39.3506, 1905, May Average, Tanzania, United Republic of, TZA
9.05232, 1905, Jun Average, Tanzania, United Republic of, TZA
7.5545, 1905, Jul Average, Tanzania, United Republic of, TZA
8.35918, 1905, Aug Average, Tanzania, United Republic of, TZA
25.2543, 1905, Sep Average, Tanzania, United Republic of, TZA
20.1339, 1905, Oct Average, Tanzania, United Republic of, TZA
128.674, 1905, Nov Average, Tanzania, United Republic of, TZA
209.27, 1905, Dec Average, Tanzania, United Republic of, TZA
192.31, 1906, Jan Average, Tanzania, United Republic of, TZA
180.238, 1906, Feb Average, Tanzania, United Republic of, TZA
287.968, 1906, Mar Average, Tanzania, United Republic of, TZA
185.841, 1906, Apr Average, Tanzania, United Republic of, TZA
65.4019, 1906, May Average, Tanzania, United Republic of, TZA
18.4192, 1906, Jun Average, Tanzania, United Republic of, TZA
5.85051, 1906, Jul Average, Tanzania, United Republic of, TZA
6.06911, 1906, Aug Average, Tanzania, United Republic of, TZA
15.5098, 1906, Sep Average, Tanzania, United Republic of, TZA
35.0915, 1906, Oct Average, Tanzania, United Republic of, TZA
48.0724, 1906, Nov Average, Tanzania, United Republic of, TZA
136.714, 1906, Dec Average, Tanzania, United Republic of, TZA
118.299, 1907, Jan Average, Tanzania, United Republic of, TZA
144.998, 1907, Feb Average, Tanzania, United Republic of, TZA
106.983, 1907, Mar Average, Tanzania, United Republic of, TZA
223.78, 1907, Apr Average, Tanzania, United Republic of, TZA
78.654, 1907, May Average, Tanzania, United Republic of, TZA
11.7222, 1907, Jun Average, Tanzania, United Republic of, TZA
3.77901, 1907, Jul Average, Tanzania, United Republic of, TZA
5.69762, 1907, Aug Average, Tanzania, United Republic of, TZA
12.5469, 1907, Sep Average, Tanzania, United Republic of, TZA
20.4965, 1907, Oct Average, Tanzania, United Republic of, TZA
73.9071, 1907, Nov Average, Tanzania, United Republic of, TZA
86.8078, 1907, Dec Average, Tanzania, United Republic of, TZA
139.79, 1908, Jan Average, Tanzania, United Republic of, TZA
138.955, 1908, Feb Average, Tanzania, United Republic of, TZA
145.361, 1908, Mar Average, Tanzania, United Republic of, TZA
180.465, 1908, Apr Average, Tanzania, United Republic of, TZA
82.9574, 1908, May Average, Tanzania, United Republic of, TZA
23.0153, 1908, Jun Average, Tanzania, United Republic of, TZA
13.4083, 1908, Jul Average, Tanzania, United Republic of, TZA
10.8595, 1908, Aug Average, Tanzania, United Republic of, TZA
12.4735, 1908, Sep Average, Tanzania, United Republic of, TZA
20.307, 1908, Oct Average, Tanzania, United Republic of, TZA
86.7141, 1908, Nov Average, Tanzania, United Republic of, TZA
136.873, 1908, Dec Average, Tanzania, United Republic of, TZA
133.053, 1909, Jan Average, Tanzania, United Republic of, TZA
74.4027, 1909, Feb Average, Tanzania, United Republic of, TZA
147.185, 1909, Mar Average, Tanzania, United Republic of, TZA
151.636, 1909, Apr Average, Tanzania, United Republic of, TZA
43.2602, 1909, May Average, Tanzania, United Republic of, TZA
7.67965, 1909, Jun Average, Tanzania, United Republic of, TZA
16.9075, 1909, Jul Average, Tanzania, United Republic of, TZA
12.2521, 1909, Aug Average, Tanzania, United Republic of, TZA
26.324, 1909, Sep Average, Tanzania, United Republic of, TZA
18.8846, 1909, Oct Average, Tanzania, United Republic of, TZA
43.7001, 1909, Nov Average, Tanzania, United Republic of, TZA
77.303, 1909, Dec Average, Tanzania, United Republic of, TZA
184.777, 1910, Jan Average, Tanzania, United Republic of, TZA
86.1119, 1910, Feb Average, Tanzania, United Republic of, TZA
122.308, 1910, Mar Average, Tanzania, United Republic of, TZA
198.819, 1910, Apr Average, Tanzania, United Republic of, TZA
59.2756, 1910, May Average, Tanzania, United Republic of, TZA
4.81199, 1910, Jun Average, Tanzania, United Republic of, TZA
