39.4423, 1901, Jan Average, Uganda, UGA
72.6007, 1901, Feb Average, Uganda, UGA
90.9371, 1901, Mar Average, Uganda, UGA
145.19, 1901, Apr Average, Uganda, UGA
119.585, 1901, May Average, Uganda, UGA
73.8086, 1901, Jun Average, Uganda, UGA
83.0512, 1901, Jul Average, Uganda, UGA
36.2741, 1901, Aug Average, Uganda, UGA
55.7509, 1901, Sep Average, Uganda, UGA
70.0489, 1901, Oct Average, Uganda, UGA
91.5435, 1901, Nov Average, Uganda, UGA
37.546, 1901, Dec Average, Uganda, UGA
36.0722, 1902, Jan Average, Uganda, UGA
61.0104, 1902, Feb Average, Uganda, UGA
43.6043, 1902, Mar Average, Uganda, UGA
159.006, 1902, Apr Average, Uganda, UGA
138.858, 1902, May Average, Uganda, UGA
76.9807, 1902, Jun Average, Uganda, UGA
112.332, 1902, Jul Average, Uganda, UGA
176.175, 1902, Aug Average, Uganda, UGA
147.862, 1902, Sep Average, Uganda, UGA
136.043, 1902, Oct Average, Uganda, UGA
120.242, 1902, Nov Average, Uganda, UGA
65.8014, 1902, Dec Average, Uganda, UGA
69.8483, 1903, Jan Average, Uganda, UGA
28.6335, 1903, Feb Average, Uganda, UGA
101.905, 1903, Mar Average, Uganda, UGA
146.805, 1903, Apr Average, Uganda, UGA
148.331, 1903, May Average, Uganda, UGA
209.236, 1903, Jun Average, Uganda, UGA
108.783, 1903, Jul Average, Uganda, UGA
59.1576, 1903, Aug Average, Uganda, UGA
157.198, 1903, Sep Average, Uganda, UGA
167.683, 1903, Oct Average, Uganda, UGA
71.2041, 1903, Nov Average, Uganda, UGA
54.2515, 1903, Dec Average, Uganda, UGA
28.5248, 1904, Jan Average, Uganda, UGA
58.6563, 1904, Feb Average, Uganda, UGA
117.46, 1904, Mar Average, Uganda, UGA
107.43, 1904, Apr Average, Uganda, UGA
114.153, 1904, May Average, Uganda, UGA
67.8346, 1904, Jun Average, Uganda, UGA
60.369, 1904, Jul Average, Uganda, UGA
166.111, 1904, Aug Average, Uganda, UGA
104.035, 1904, Sep Average, Uganda, UGA
101.472, 1904, Oct Average, Uganda, UGA
112.363, 1904, Nov Average, Uganda, UGA
89.5629, 1904, Dec Average, Uganda, UGA
44.3108, 1905, Jan Average, Uganda, UGA
25.4385, 1905, Feb Average, Uganda, UGA
124.059, 1905, Mar Average, Uganda, UGA
82.1697, 1905, Apr Average, Uganda, UGA
92.803, 1905, May Average, Uganda, UGA
49.8745, 1905, Jun Average, Uganda, UGA
98.5009, 1905, Jul Average, Uganda, UGA
107.345, 1905, Aug Average, Uganda, UGA
125.795, 1905, Sep Average, Uganda, UGA
139.847, 1905, Oct Average, Uganda, UGA
161.083, 1905, Nov Average, Uganda, UGA
103.295, 1905, Dec Average, Uganda, UGA
18.7348, 1906, Jan Average, Uganda, UGA
105.692, 1906, Feb Average, Uganda, UGA
169.455, 1906, Mar Average, Uganda, UGA
169.138, 1906, Apr Average, Uganda, UGA
111.46, 1906, May Average, Uganda, UGA
103.153, 1906, Jun Average, Uganda, UGA
61.655, 1906, Jul Average, Uganda, UGA
173.922, 1906, Aug Average, Uganda, UGA
129.021, 1906, Sep Average, Uganda, UGA
152.635, 1906, Oct Average, Uganda, UGA
46.4786, 1906, Nov Average, Uganda, UGA
30.2395, 1906, Dec Average, Uganda, UGA
30.1821, 1907, Jan Average, Uganda, UGA
59.6989, 1907, Feb Average, Uganda, UGA
23.0897, 1907, Mar Average, Uganda, UGA
178.243, 1907, Apr Average, Uganda, UGA
173.159, 1907, May Average, Uganda, UGA
88.7041, 1907, Jun Average, Uganda, UGA
98.1791, 1907, Jul Average, Uganda, UGA
88.3598, 1907, Aug Average, Uganda, UGA
63.0818, 1907, Sep Average, Uganda, UGA
98.5114, 1907, Oct Average, Uganda, UGA
111.934, 1907, Nov Average, Uganda, UGA
46.4384, 1907, Dec Average, Uganda, UGA
19.6133, 1908, Jan Average, Uganda, UGA
65.2703, 1908, Feb Average, Uganda, UGA
43.0442, 1908, Mar Average, Uganda, UGA
155.382, 1908, Apr Average, Uganda, UGA
165.296, 1908, May Average, Uganda, UGA
95.0597, 1908, Jun Average, Uganda, UGA
92.5819, 1908, Jul Average, Uganda, UGA
118.901, 1908, Aug Average, Uganda, UGA
86.8719, 1908, Sep Average, Uganda, UGA
108.798, 1908, Oct Average, Uganda, UGA
89.8246, 1908, Nov Average, Uganda, UGA
53.0299, 1908, Dec Average, Uganda, UGA
43.8018, 1909, Jan Average, Uganda, UGA
23.2241, 1909, Feb Average, Uganda, UGA
91.3769, 1909, Mar Average, Uganda, UGA
219.266, 1909, Apr Average, Uganda, UGA
81.7494, 1909, May Average, Uganda, UGA
51.9278, 1909, Jun Average, Uganda, UGA
81.0039, 1909, Jul Average, Uganda, UGA
175.779, 1909, Aug Average, Uganda, UGA
184.732, 1909, Sep Average, Uganda, UGA
63.9546, 1909, Oct Average, Uganda, UGA
69.0275, 1909, Nov Average, Uganda, UGA
133.222, 1909, Dec Average, Uganda, UGA
50.8148, 1910, Jan Average, Uganda, UGA
13.6846, 1910, Feb Average, Uganda, UGA
86.9372, 1910, Mar Average, Uganda, UGA
144.689, 1910, Apr Average, Uganda, UGA
157.91, 1910, May Average, Uganda, UGA
94.4817, 1910, Jun Average, Uganda, UGA
136.387, 1910, Jul Average, Uganda, UGA
89.0177, 1910, Aug Average, Uganda, UGA
61.198, 1910, Sep Average, Uganda, UGA
103.976, 1910, Oct Average, Uganda, UGA
103.687, 1910, Nov Average, Uganda, UGA
55.2701, 1910, Dec Average, Uganda, UGA
39.8577, 1911, Jan Average, Uganda, UGA
18.4194, 1911, Feb Average, Uganda, UGA
145.944, 1911, Mar Average, Uganda, UGA
138.004, 1911, Apr Average, Uganda, UGA
153.458, 1911, May Average, Uganda, UGA
69.682, 1911, Jun Average, Uganda, UGA
44.0108, 1911, Jul Average, Uganda, UGA
146.508, 1911, Aug Average, Uganda, UGA
62.0314, 1911, Sep Average, Uganda, UGA
104.129, 1911, Oct Average, Uganda, UGA
166.569, 1911, Nov Average, Uganda, UGA
20.6717, 1911, Dec Average, Uganda, UGA
32.9353, 1912, Jan Average, Uganda, UGA
87.5476, 1912, Feb Average, Uganda, UGA
87.5693, 1912, Mar Average, Uganda, UGA
165.467, 1912, Apr Average, Uganda, UGA
119.315, 1912, May Average, Uganda, UGA
101.598, 1912, Jun Average, Uganda, UGA
96.9671, 1912, Jul Average, Uganda, UGA
144.354, 1912, Aug Average, Uganda, UGA
102.426, 1912, Sep Average, Uganda, UGA
104.384, 1912, Oct Average, Uganda, UGA
122.951, 1912, Nov Average, Uganda, UGA
52.8688, 1912, Dec Average, Uganda, UGA
7.36378, 1913, Jan Average, Uganda, UGA
85.4079, 1913, Feb Average, Uganda, UGA
94.0087, 1913, Mar Average, Uganda, UGA
154.848, 1913, Apr Average, Uganda, UGA
146.288, 1913, May Average, Uganda, UGA
84.7514, 1913, Jun Average, Uganda, UGA
73.3783, 1913, Jul Average, Uganda, UGA
67.3209, 1913, Aug Average, Uganda, UGA
53.0955, 1913, Sep Average, Uganda, UGA
110.18, 1913, Oct Average, Uganda, UGA
67.9931, 1913, Nov Average, Uganda, UGA
38.4399, 1913, Dec Average, Uganda, UGA
48.1363, 1914, Jan Average, Uganda, UGA
56.6493, 1914, Feb Average, Uganda, UGA
111.511, 1914, Mar Average, Uganda, UGA
106.8, 1914, Apr Average, Uganda, UGA
140.367, 1914, May Average, Uganda, UGA
106.312, 1914, Jun Average, Uganda, UGA
104.682, 1914, Jul Average, Uganda, UGA
120.797, 1914, Aug Average, Uganda, UGA
143.234, 1914, Sep Average, Uganda, UGA
107.583, 1914, Oct Average, Uganda, UGA
156.872, 1914, Nov Average, Uganda, UGA
34.1522, 1914, Dec Average, Uganda, UGA
32.5126, 1915, Jan Average, Uganda, UGA
67.442, 1915, Feb Average, Uganda, UGA
128.065, 1915, Mar Average, Uganda, UGA
138.641, 1915, Apr Average, Uganda, UGA
132.667, 1915, May Average, Uganda, UGA
108.991, 1915, Jun Average, Uganda, UGA
44.6346, 1915, Jul Average, Uganda, UGA
83.9477, 1915, Aug Average, Uganda, UGA
159.268, 1915, Sep Average, Uganda, UGA
153.196, 1915, Oct Average, Uganda, UGA
98.6944, 1915, Nov Average, Uganda, UGA
102.799, 1915, Dec Average, Uganda, UGA
21.0956, 1916, Jan Average, Uganda, UGA
83.7316, 1916, Feb Average, Uganda, UGA
85.0476, 1916, Mar Average, Uganda, UGA
179.704, 1916, Apr Average, Uganda, UGA
178.402, 1916, May Average, Uganda, UGA
101.866, 1916, Jun Average, Uganda, UGA
55.5259, 1916, Jul Average, Uganda, UGA
116.378, 1916, Aug Average, Uganda, UGA
172.943, 1916, Sep Average, Uganda, UGA
96.092, 1916, Oct Average, Uganda, UGA
77.1356, 1916, Nov Average, Uganda, UGA
73.4339, 1916, Dec Average, Uganda, UGA
63.8984, 1917, Jan Average, Uganda, UGA
107.147, 1917, Feb Average, Uganda, UGA
40.1072, 1917, Mar Average, Uganda, UGA
199.942, 1917, Apr Average, Uganda, UGA
162.031, 1917, May Average, Uganda, UGA
110.891, 1917, Jun Average, Uganda, UGA
59.3004, 1917, Jul Average, Uganda, UGA
141.8, 1917, Aug Average, Uganda, UGA
164.972, 1917, Sep Average, Uganda, UGA
163.756, 1917, Oct Average, Uganda, UGA
29.6566, 1917, Nov Average, Uganda, UGA
33.3935, 1917, Dec Average, Uganda, UGA
24.5559, 1918, Jan Average, Uganda, UGA
19.1319, 1918, Feb Average, Uganda, UGA
48.1175, 1918, Mar Average, Uganda, UGA
120.775, 1918, Apr Average, Uganda, UGA
102.751, 1918, May Average, Uganda, UGA
82.4729, 1918, Jun Average, Uganda, UGA
70.8044, 1918, Jul Average, Uganda, UGA
80.279, 1918, Aug Average, Uganda, UGA
84.7179, 1918, Sep Average, Uganda, UGA
76.9602, 1918, Oct Average, Uganda, UGA
102.246, 1918, Nov Average, Uganda, UGA
43.3871, 1918, Dec Average, Uganda, UGA
17.2253, 1919, Jan Average, Uganda, UGA
88.7889, 1919, Feb Average, Uganda, UGA
120.238, 1919, Mar Average, Uganda, UGA
114.009, 1919, Apr Average, Uganda, UGA
140.601, 1919, May Average, Uganda, UGA
76.7463, 1919, Jun Average, Uganda, UGA
138.486, 1919, Jul Average, Uganda, UGA
106.004, 1919, Aug Average, Uganda, UGA
146.97, 1919, Sep Average, Uganda, UGA
108.06, 1919, Oct Average, Uganda, UGA
149.452, 1919, Nov Average, Uganda, UGA
39.4383, 1919, Dec Average, Uganda, UGA
22.3859, 1920, Jan Average, Uganda, UGA
18.9456, 1920, Feb Average, Uganda, UGA
134.34, 1920, Mar Average, Uganda, UGA
173.518, 1920, Apr Average, Uganda, UGA
169.228, 1920, May Average, Uganda, UGA
101.373, 1920, Jun Average, Uganda, UGA
75.7058, 1920, Jul Average, Uganda, UGA
93.9623, 1920, Aug Average, Uganda, UGA
92.1263, 1920, Sep Average, Uganda, UGA
117.98, 1920, Oct Average, Uganda, UGA
120.006, 1920, Nov Average, Uganda, UGA
55.1996, 1920, Dec Average, Uganda, UGA
21.846, 1921, Jan Average, Uganda, UGA
56.0368, 1921, Feb Average, Uganda, UGA
47.7146, 1921, Mar Average, Uganda, UGA
102.5, 1921, Apr Average, Uganda, UGA
129.604, 1921, May Average, Uganda, UGA
79.5498, 1921, Jun Average, Uganda, UGA
100.009, 1921, Jul Average, Uganda, UGA
114.255, 1921, Aug Average, Uganda, UGA
77.6969, 1921, Sep Average, Uganda, UGA
112.777, 1921, Oct Average, Uganda, UGA
67.1146, 1921, Nov Average, Uganda, UGA
34.7066, 1921, Dec Average, Uganda, UGA
20.4113, 1922, Jan Average, Uganda, UGA
59.8296, 1922, Feb Average, Uganda, UGA
132.569, 1922, Mar Average, Uganda, UGA
132.663, 1922, Apr Average, Uganda, UGA
187.27, 1922, May Average, Uganda, UGA
61.1058, 1922, Jun Average, Uganda, UGA
63.6754, 1922, Jul Average, Uganda, UGA
171.239, 1922, Aug Average, Uganda, UGA
99.2314, 1922, Sep Average, Uganda, UGA
110.147, 1922, Oct Average, Uganda, UGA
47.6757, 1922, Nov Average, Uganda, UGA
48.1859, 1922, Dec Average, Uganda, UGA
8.1107, 1923, Jan Average, Uganda, UGA
90.791, 1923, Feb Average, Uganda, UGA
102.231, 1923, Mar Average, Uganda, UGA
182.106, 1923, Apr Average, Uganda, UGA
191.278, 1923, May Average, Uganda, UGA
69.9022, 1923, Jun Average, Uganda, UGA
127.257, 1923, Jul Average, Uganda, UGA
85.168, 1923, Aug Average, Uganda, UGA
139.677, 1923, Sep Average, Uganda, UGA
144.64, 1923, Oct Average, Uganda, UGA
82.4301, 1923, Nov Average, Uganda, UGA
72.795, 1923, Dec Average, Uganda, UGA
22.6522, 1924, Jan Average, Uganda, UGA
69.6604, 1924, Feb Average, Uganda, UGA
74.4848, 1924, Mar Average, Uganda, UGA
168.287, 1924, Apr Average, Uganda, UGA
130.599, 1924, May Average, Uganda, UGA
45.1444, 1924, Jun Average, Uganda, UGA
88.5334, 1924, Jul Average, Uganda, UGA
153.16, 1924, Aug Average, Uganda, UGA
114.308, 1924, Sep Average, Uganda, UGA
137.168, 1924, Oct Average, Uganda, UGA
83.5396, 1924, Nov Average, Uganda, UGA
36.8089, 1924, Dec Average, Uganda, UGA
50.6898, 1925, Jan Average, Uganda, UGA
37.7945, 1925, Feb Average, Uganda, UGA
128.733, 1925, Mar Average, Uganda, UGA
84.0084, 1925, Apr Average, Uganda, UGA
110.853, 1925, May Average, Uganda, UGA
103.82, 1925, Jun Average, Uganda, UGA
82.2236, 1925, Jul Average, Uganda, UGA
99.3179, 1925, Aug Average, Uganda, UGA
73.7596, 1925, Sep Average, Uganda, UGA
128.379, 1925, Oct Average, Uganda, UGA
171.311, 1925, Nov Average, Uganda, UGA
53.498, 1925, Dec Average, Uganda, UGA
36.0375, 1926, Jan Average, Uganda, UGA
77.2261, 1926, Feb Average, Uganda, UGA
94.0263, 1926, Mar Average, Uganda, UGA
185.009, 1926, Apr Average, Uganda, UGA
129.755, 1926, May Average, Uganda, UGA
73.5962, 1926, Jun Average, Uganda, UGA
112.14, 1926, Jul Average, Uganda, UGA
110.662, 1926, Aug Average, Uganda, UGA
164.788, 1926, Sep Average, Uganda, UGA
119.812, 1926, Oct Average, Uganda, UGA
115.064, 1926, Nov Average, Uganda, UGA
19.4791, 1926, Dec Average, Uganda, UGA
46.9106, 1927, Jan Average, Uganda, UGA
77.7422, 1927, Feb Average, Uganda, UGA
99.5342, 1927, Mar Average, Uganda, UGA
145.402, 1927, Apr Average, Uganda, UGA
91.7291, 1927, May Average, Uganda, UGA
58.3073, 1927, Jun Average, Uganda, UGA
74.3765, 1927, Jul Average, Uganda, UGA
87.6862, 1927, Aug Average, Uganda, UGA
100.893, 1927, Sep Average, Uganda, UGA
47.6889, 1927, Oct Average, Uganda, UGA
86.6171, 1927, Nov Average, Uganda, UGA
58.1453, 1927, Dec Average, Uganda, UGA
25.0277, 1928, Jan Average, Uganda, UGA
25.9463, 1928, Feb Average, Uganda, UGA
69.3215, 1928, Mar Average, Uganda, UGA
168.321, 1928, Apr Average, Uganda, UGA
185.348, 1928, May Average, Uganda, UGA
102.179, 1928, Jun Average, Uganda, UGA
78.0282, 1928, Jul Average, Uganda, UGA
112.008, 1928, Aug Average, Uganda, UGA
93.2877, 1928, Sep Average, Uganda, UGA
139.077, 1928, Oct Average, Uganda, UGA
91.332, 1928, Nov Average, Uganda, UGA
37.4278, 1928, Dec Average, Uganda, UGA
22.7498, 1929, Jan Average, Uganda, UGA
25.0602, 1929, Feb Average, Uganda, UGA
79.4729, 1929, Mar Average, Uganda, UGA
