159.956, 1901, Jan Average, Zimbabwe, ZWE
183.726, 1901, Feb Average, Zimbabwe, ZWE
124.178, 1901, Mar Average, Zimbabwe, ZWE
33.2001, 1901, Apr Average, Zimbabwe, ZWE
4.31437, 1901, May Average, Zimbabwe, ZWE
6.5124, 1901, Jun Average, Zimbabwe, ZWE
0.22457, 1901, Jul Average, Zimbabwe, ZWE
2.11902, 1901, Aug Average, Zimbabwe, ZWE
11.7921, 1901, Sep Average, Zimbabwe, ZWE
17.9302, 1901, Oct Average, Zimbabwe, ZWE
94.633, 1901, Nov Average, Zimbabwe, ZWE
218.093, 1901, Dec Average, Zimbabwe, ZWE
202.861, 1902, Jan Average, Zimbabwe, ZWE
87.001, 1902, Feb Average, Zimbabwe, ZWE
158.297, 1902, Mar Average, Zimbabwe, ZWE
25.8222, 1902, Apr Average, Zimbabwe, ZWE
0.39555, 1902, May Average, Zimbabwe, ZWE
0.63842, 1902, Jun Average, Zimbabwe, ZWE
0.55242, 1902, Jul Average, Zimbabwe, ZWE
0.43716, 1902, Aug Average, Zimbabwe, ZWE
11.8398, 1902, Sep Average, Zimbabwe, ZWE
29.4335, 1902, Oct Average, Zimbabwe, ZWE
105.564, 1902, Nov Average, Zimbabwe, ZWE
32.8075, 1902, Dec Average, Zimbabwe, ZWE
188.648, 1903, Jan Average, Zimbabwe, ZWE
24.9489, 1903, Feb Average, Zimbabwe, ZWE
59.3446, 1903, Mar Average, Zimbabwe, ZWE
13.4766, 1903, Apr Average, Zimbabwe, ZWE
12.3243, 1903, May Average, Zimbabwe, ZWE
0.11192, 1903, Jun Average, Zimbabwe, ZWE
0.36847, 1903, Jul Average, Zimbabwe, ZWE
4.41856, 1903, Aug Average, Zimbabwe, ZWE
1.74863, 1903, Sep Average, Zimbabwe, ZWE
28.8285, 1903, Oct Average, Zimbabwe, ZWE
108.086, 1903, Nov Average, Zimbabwe, ZWE
98.1634, 1903, Dec Average, Zimbabwe, ZWE
219.787, 1904, Jan Average, Zimbabwe, ZWE
80.674, 1904, Feb Average, Zimbabwe, ZWE
122.554, 1904, Mar Average, Zimbabwe, ZWE
13.7177, 1904, Apr Average, Zimbabwe, ZWE
13.6516, 1904, May Average, Zimbabwe, ZWE
5.12284, 1904, Jun Average, Zimbabwe, ZWE
1.65793, 1904, Jul Average, Zimbabwe, ZWE
2.16666, 1904, Aug Average, Zimbabwe, ZWE
0.63471, 1904, Sep Average, Zimbabwe, ZWE
42.1576, 1904, Oct Average, Zimbabwe, ZWE
49.0339, 1904, Nov Average, Zimbabwe, ZWE
147.353, 1904, Dec Average, Zimbabwe, ZWE
99.1428, 1905, Jan Average, Zimbabwe, ZWE
163.747, 1905, Feb Average, Zimbabwe, ZWE
84.95, 1905, Mar Average, Zimbabwe, ZWE
2.20415, 1905, Apr Average, Zimbabwe, ZWE
7.09988, 1905, May Average, Zimbabwe, ZWE
0.27039, 1905, Jun Average, Zimbabwe, ZWE
3.40599, 1905, Jul Average, Zimbabwe, ZWE
0.40522, 1905, Aug Average, Zimbabwe, ZWE
1.7186, 1905, Sep Average, Zimbabwe, ZWE
1.31941, 1905, Oct Average, Zimbabwe, ZWE
36.1132, 1905, Nov Average, Zimbabwe, ZWE
101.593, 1905, Dec Average, Zimbabwe, ZWE
162.076, 1906, Jan Average, Zimbabwe, ZWE
210.697, 1906, Feb Average, Zimbabwe, ZWE
64.059, 1906, Mar Average, Zimbabwe, ZWE
8.1297, 1906, Apr Average, Zimbabwe, ZWE
2.90556, 1906, May Average, Zimbabwe, ZWE
0.78184, 1906, Jun Average, Zimbabwe, ZWE
0.76359, 1906, Jul Average, Zimbabwe, ZWE
0.81078, 1906, Aug Average, Zimbabwe, ZWE
7.5974, 1906, Sep Average, Zimbabwe, ZWE
45.2783, 1906, Oct Average, Zimbabwe, ZWE
89.4927, 1906, Nov Average, Zimbabwe, ZWE
89.2566, 1906, Dec Average, Zimbabwe, ZWE
133.305, 1907, Jan Average, Zimbabwe, ZWE
272.357, 1907, Feb Average, Zimbabwe, ZWE
66.7362, 1907, Mar Average, Zimbabwe, ZWE
36.2342, 1907, Apr Average, Zimbabwe, ZWE
4.30171, 1907, May Average, Zimbabwe, ZWE
2.91596, 1907, Jun Average, Zimbabwe, ZWE
7.73305, 1907, Jul Average, Zimbabwe, ZWE
3.30998, 1907, Aug Average, Zimbabwe, ZWE
4.20365, 1907, Sep Average, Zimbabwe, ZWE
24.1985, 1907, Oct Average, Zimbabwe, ZWE
123.756, 1907, Nov Average, Zimbabwe, ZWE
172.17, 1907, Dec Average, Zimbabwe, ZWE
115.399, 1908, Jan Average, Zimbabwe, ZWE
140.201, 1908, Feb Average, Zimbabwe, ZWE
49.9793, 1908, Mar Average, Zimbabwe, ZWE
14.898, 1908, Apr Average, Zimbabwe, ZWE
3.35176, 1908, May Average, Zimbabwe, ZWE
