Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,204.289,206.912,182.094,190.177,28.8918,29.5477,3.05811,1.04871,14.5426,42.2485,42.8461,183
 1902,345.791,182.709,261.709,111.113,50.1244,1.77827,2.20009,2.47424,4.63503,11.5611,66.3968,124.52
 1903,261.129,141.403,127.757,97.1698,86.625,6.14798,3.03682,1.01452,5.14048,6.32294,65.6581,204.398
 1904,332.474,240.082,239.558,119.184,82.8492,7.48192,12.7603,0.51998,4.63822,27.9388,32.0792,327.893
 1905,227.485,286.177,158.473,37.5437,9.59199,0.89899,5.18064,3.92222,5.78226,12.9921,171.62,206.656
 1906,296.911,235.705,190.644,50.1193,37.2827,2.82532,9.97438,1.3106,3.76444,33.2804,71.0908,142.458
 1907,190.165,245.181,162.648,177.046,36.8984,12.326,11.1643,0.37139,0.46467,12.9172,87.012,252.15
 1908,220.953,263.926,150.431,141.49,28.2344,5.85209,8.59373,3.06568,1.71241,10.57,83.8596,267.001
 1909,252.705,201.342,184.119,70.2325,63.9892,13.6931,3.17473,2.56288,5.86296,13.593,29.7656,63.7557
 1910,199.829,242.347,212.115,134.02,13.7009,7.06484,4.97262,2.25155,1.3071,11.631,42.3546,222.316
 1911,201.973,207.156,167.964,76.1604,58.2893,16.841,5.18031,2.33504,4.83029,14.9061,55.7715,167.077
 1912,230.427,169.556,127.02,26.8658,21.28,11.1206,7.49137,1.51506,3.26397,11.9916,38.803,253.544
 1913,195.694,183.753,283,116.404,61.8167,22.3304,0.75344,1.19215,1.56695,7.51052,58.5345,164.116
 1914,207.737,205.315,191.614,127.009,9.22313,9.10922,9.86411,5.62524,1.374,8.59,75.369,127.843
 1915,201.696,204.013,203.348,81.1724,15.8289,11.2831,0.36317,2.31942,3.3543,7.14688,40.565,186.792
 1916,211.565,183.377,151.04,130.176,35.593,6.81883,0.39236,1.21155,2.75383,17.8899,116.237,292.901
 1917,214.192,186.508,217.161,126.736,24.1104,3.49555,2.70448,2.54213,3.57838,15.1981,83.1983,179.212
 1918,215.769,195.71,205.025,70.2674,23.3383,9.25412,5.77469,7.13659,0.00423,3.05402,97.1332,87.1058
 1919,252.962,247.719,147.566,42.3003,26.9769,2.2465,2.97776,1.31099,2.86308,29.8969,47.2496,172.58
 1920,182.985,233.732,330.905,33.9047,54.1337,11.2787,6.29115,1.52582,0.00353,33.8743,54.7617,189.101
 1921,197.909,220.585,224.4,83.8372,26.9409,2.57076,12.9091,5.19157,3.93388,22.4257,79.2359,211.487
 1922,115.02,197.351,185.414,49.065,27.1557,6.25104,3.8253,1.50683,4.12038,35.1515,64.6636,227.432
 1923,154.44,282.7,215.275,147.467,47.1605,1.96229,5.24815,7.95707,0.83228,20.0139,19.8291,273.363
 1924,191.563,218.877,174.4,40.3886,13.9463,10.6143,6.48422,3.07877,0.1225,14.8229,62.2062,116.38
 1925,298.241,255.222,232.703,143.939,39.1461,7.12531,13.059,2.05208,8.28236,21.3541,87.5268,207.317
 1926,304.319,238.275,251.66,98.0197,13.8383,4.3194,8.10642,4.28594,0.65646,6.12066,44.1504,229.413
 1927,244.481,219.719,226.617,142.976,13.7842,9.42972,7.11184,1.05361,0.30115,5.98331,26.5113,213.907
 1928,195.059,138.347,280.051,103.821,19.8532,6.70333,2.55827,1.85853,1.71661,13.5551,41.4199,191.363
 1929,281.254,171.328,250.216,103.53,10.9896,1.37462,4.69202,6.07965,0.00816,22.1706,44.3459,195.996
 1930,237.809,155.994,186.552,97.1299,11.2274,3.88915,3.20992,1.03965,10.4972,1.94067,63.1741,149.54
 1931,326.258,200.854,143.168,93.8679,20.62,4.41493,4.1138,0.72149,6.59949,6.6253,112.143,302.904
 1932,141.125,240.831,182.252,85.6581,38.0509,10.164,3.34946,2.79077,1.78395,4.87185,47.8716,207.09
 1933,194.718,234.546,151.019,80.9311,8.85403,12.3407,1.78799,0.9414,1.23293,4.90906,30.9229,232.785
 1934,215.187,265.722,243.912,83.1125,29.9913,30.8935,8.03352,2.09191,4.36875,19.867,112.638,249.271
 1935,229.07,182.938,167.129,75.1479,34.8618,8.58229,2.55737,5.3537,0.59391,1.19096,102.296,152.297
 1936,184.566,272.557,324.57,98.6392,29.9689,18.8215,10.1844,3.07588,3.34606,13.0413,54.7037,192.766
 1937,277.357,218.026,136.278,97.4292,29.2503,2.38325,14.5749,10.2763,2.60548,9.50539,55.5486,167.226
 1938,287.909,136.96,206.588,115.973,13.9512,11.5756,2.72815,4.51502,0.01997,14.4011,44.191,195.847
 1939,288.088,152.943,251.204,91.3903,26.799,13.4389,5.83468,8.00052,6.59965,18.5021,64.6835,196.811
 1940,262.024,222.784,271.027,66.0192,14.0063,7.99428,9.01325,1.38024,0.03782,37.5322,92.6524,112.769
 1941,285.344,170.504,202.334,30.744,11.7391,3.98755,2.68122,3.40117,4.16051,11.2783,127.14,159.207
 1942,199.955,177.595,188.673,53.9461,15.8894,3.01439,8.10165,7.47863,0.08977,29.3513,74.6596,201.306
 1943,260.214,193.549,150.788,66.9399,40.0738,13.6829,0.48575,2.23539,6.31984,1.01346,44.6585,150.958
 1944,168.444,227.244,272.239,34.8555,26.7645,10.8808,2.38465,0.04622,1.26975,12.6713,130.791,235.083
 1945,311.311,275.66,226.151,89.4499,35.0595,8.02434,5.85324,2.23475,0.34853,3.61805,54.7287,173.006
 1946,213.046,185.383,293.637,90.042,17.7243,14.908,4.70174,7.84325,2.11523,0.44998,151.956,224.373
 1947,253.171,192.351,291.704,115.9,40.3495,6.17029,6.54065,0.82487,6.18151,18.5557,64.3987,207.153
 1948,264.114,308.151,210.424,137.952,18.793,6.51887,7.54834,5.27629,4.64384,13.2351,74.1063,100.233
 1949,81.1168,194.336,169.117,46.5869,40.9107,11.4404,5.41246,0.85421,5.20444,11.8207,43.0295,164.574
 1950,365.345,276.831,253.079,88.6283,45.9512,7.94979,12.2627,4.04745,0.72223,40.9744,54.4375,172.183
 1951,239.96,265.596,179.982,66.8764,32.5272,11.0178,3.42824,9.58163,1.35376,9.65171,93.0811,250.399
 1952,243.833,372.808,209.95,141,22.5659,7.96241,5.49817,1.32198,3.82415,14.0815,103.684,125.507
 1953,219.348,151.12,243.151,59.9001,18.1267,4.99416,7.08136,2.55661,5.36761,4.46008,42.2371,258.16
 1954,180.919,182.222,167.083,46.8846,13.0331,9.46707,0.90565,5.59703,3.82826,3.39951,101.395,183.612
 1955,246.806,298.962,192.111,110.861,39.968,10.1526,9.37031,2.17088,2.29941,3.24667,39.7146,190.21
 1956,318.45,206.291,258.763,208.991,42.3374,16.6289,4.42426,2.7814,4.46086,9.34827,98.5939,239.765
 1957,307.179,201.311,165.363,147.338,50.4936,4.45215,0.47594,1.47447,0.68229,5.13218,8.41189,239.141
