Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
45.4687,48.5075,39.907,28.0287,34.5637,34.7822,15.5378,27.421,25.7506,37.0246,52.4583,25.4961
56.8887,42.8988,62.2297,29.2788,59.5791,28.7785,25.5044,10.4594,18.2464,30.036,48.5034,67.8403
45.636,64.4302,60.5901,60.8629,27.1949,35.1976,19.6148,24.8784,21.732,36.0033,48.9294,79.9663
50.8685,56.0412,84.4156,41.3623,28.8345,25.6729,43.1329,23.8633,34.9658,51.9745,57.2162,50.6054
35.9577,41.085,74.8163,41.5762,52.128,28.3959,28.4143,22.7207,28.5856,72.2091,35.5714,61.1366
62.3437,30.9143,37.3574,41.5139,21.9309,25.096,31.1805,24.0528,18.1837,39.3663,39.5489,38.4831
48.5871,44.9963,70.8256,52.4692,21.7548,24.6758,14.7316,19.7726,32.7602,31.5307,38.8301,62.5517
41.6453,33.2172,49.0853,44.7465,48.891,24.1434,23.7316,13.9614,29.2924,42.7287,41.9629,52.9853
36.6888,59.6026,21.9359,37.4124,15.6574,18.1673,17.0131,19.664,44.1567,36.5803,39.3064,39.5311
62.2988,48.9233,64.1393,48.601,25.9713,25.0996,14.6102,16.3622,22.2043,34.6037,32.5401,40.5229
47.968,61.4371,33.2689,35.9149,57.3366,13.0738,22.8117,22.7978,25.789,47.357,60.6665,82.9194
66.2345,60.4254,42.7691,52.9966,40.5869,30.6682,16.1788,23.785,17.6058,39.8225,57.0419,62.5149
29.6364,56.0909,62.4636,55.8585,45.9186,19.8564,25.9407,37.7536,31.6562,43.0876,58.0496,37.7232
58.4119,57.9287,61.8532,76.2319,54.6746,40.7306,43.4569,32.5834,29.8205,68.1441,66.5572,69.3103
68.5297,74.2927,56.3039,66.8158,43.8595,15.5444,20.9279,16.5823,20.3608,50.5417,36.1982,56.8941
41.3031,49.6566,34.5807,46.2306,40.9365,12.9421,13.5901,22.1954,15.0592,13.5577,26.0796,54.4879
36.6772,69.1083,45.0255,49.188,13.5193,29.2273,25.688,10.1845,35.4016,32.3813,25.0688,33.8553
75.6742,59.671,79.6457,39.3566,40.5123,37.995,14.3187,16.3344,37.6643,53.4051,77.8063,62.8761
55.901,60.8005,95.3797,51.4695,62.2826,42.0935,44.0443,12.0418,31.3974,50.5695,54.8425,76.5698
68.1276,68.725,60.9067,39.2763,30.4346,27.1525,19.5069,21.938,25.3955,52.8378,58.2137,69.4299
74.1759,70.5175,84.0555,30.08,26.6392,22.052,10.8906,20.3527,36.0179,66.1522,25.0545,67.7346
64.2046,49.4059,52.4808,41.1115,45.9651,50.2666,36.7286,37.416,28.197,44.6188,43.0325,55.8652
57.5722,54.4094,54.8515,42.5626,26.327,31.1626,18.1474,39.2059,32.2721,55.5628,50.6452,66.6376
44.7537,42.8538,58.6137,39.3919,22.0786,26.6854,20.2145,9.30879,24.839,22.4071,26.5041,49.1259
51.1281,73.527,50.2687,47.5354,52.303,13.6424,33.8627,16.1404,41.0684,37.6303,56.6577,60.626
61.1798,46.4196,73.4667,35.8755,43.4432,29.7616,31.3665,31.2138,15.7939,38.5621,71.3566,66.4958
69.3985,34.1818,65.4376,34.6929,24.2532,25.8463,20.5694,17.9408,36.6373,34.3016,51.9051,52.3276
56.4187,54.9992,45.731,55.9358,51.6106,21.4537,25.6966,16.127,38.1414,52.1738,54.2517,51.3045
53.2083,39.5846,42.9275,28.345,17.2217,30.8559,19.4723,17.8267,34.992,56.7482,32.0015,47.6316
54.8486,56.5062,52.2939,56.0357,49.7895,35.5786,20.5367,33.8629,21.4011,39.7007,53.8135,83.2435
115.509,55.2541,46.6131,40.002,23.7031,19.2821,26.1131,31.1398,18.4062,54.4889,48.3459,61.6395
45.397,58.5055,73.9295,55.6615,35.7018,29.5709,39.0215,32.827,29.1255,54.8258,53.4959,53.8486
61.7351,60.3265,70.3415,39.9284,43.7432,18.1868,10.7629,15.1629,36.0494,52.0273,27.6982,51.1871
37.9392,40.0311,78.6761,22.356,33.7952,36.0674,25.7857,19.8998,42.8255,47.5215,74.8249,60.4253
39.3355,47.6181,49.2685,20.6234,26.1209,29.5256,17.4274,20.9415,14.8748,45.557,54.6396,82.7693
60.153,41.8259,41.6873,52.7436,38.8935,37.3929,25.8891,15.6259,18.5141,38.4992,31.5341,62.8533
30.8456,49.8456,50.4603,29.1798,30.7633,29.0894,18.5297,25.4974,25.9222,24.8973,32.2416,34.6434
