Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,10.7111,11.2564,8.48546,5.34105,11.0473,2.45341,3.12252,4.89737,8.66387,19.3932,12.2979,15.7832
 1902,5.40547,11.1454,10.0081,6.61178,7.79011,3.57897,3.82684,3.48822,6.58805,15.2386,14.0474,11.9591
 1903,8.89526,2.8471,7.64151,4.82821,5.86833,3.7206,2.1661,2.11555,5.63321,5.4094,8.71937,17.8794
 1904,25.1144,14.0576,18.2954,13.9397,2.4507,4.60238,2.11529,2.97959,4.36233,7.44077,8.02737,12.4222
 1905,7.53667,5.75573,4.84387,7.5784,14.9933,3.75502,2.63475,2.65772,2.42843,15.8702,10.4563,13.7578
 1906,16.608,9.61631,8.83625,8.48499,8.21597,3.31076,3.38494,3.29465,7.31516,6.33379,8.285,12.03
 1907,6.89571,13.7485,7.43066,8.56467,4.8839,1.65223,1.54578,3.35631,9.59765,7.70983,16.3995,4.16358
 1908,9.52262,11.5125,18.8804,7.03988,8.06805,3.61939,2.52466,3.65393,5.29759,12.6052,7.13848,10.8096
 1909,10.0673,6.15367,8.82591,9.57389,6.96322,3.4177,1.92249,2.44085,3.01039,9.2519,9.71069,4.60887
 1910,6.12558,7.21427,6.64956,6.79724,15.4558,2.42111,1.45697,2.05093,2.80849,2.84872,3.35362,13.1736
 1911,18.5202,7.28457,15.3875,6.54621,9.41771,3.02228,2.04585,2.10668,3.56317,9.4894,9.74408,8.58225
 1912,15.7403,4.58463,6.75411,10.1814,1.1637,2.23466,1.18315,3.59294,11.7424,14.8266,4.27614,15.3646
 1913,18.0745,11.5162,3.93485,4.06727,4.15312,1.57934,1.18415,2.0291,1.16816,6.32318,4.20751,6.64806
 1914,16.0518,12.0296,7.02236,8.2952,5.98626,2.56214,1.43338,4.11691,4.86035,5.11285,11.2056,6.65423
 1915,12.7031,7.71452,7.21466,8.04816,6.36216,5.58895,2.12295,2.89157,6.8119,12.2848,7.16489,7.55182
 1916,12.4086,8.4969,10.2328,5.88966,6.94378,2.67516,1.49331,2.9139,5.50379,3.42424,14.3146,11.7247
 1917,16.5735,9.1992,9.13425,2.92161,5.15155,9.48101,1.20456,1.87669,1.26109,3.71319,12.183,13.0354
 1918,5.97155,5.18759,12.4207,6.69916,6.78748,5.87672,2.84155,2.25869,4.57063,12.7005,22.7106,8.02308
 1919,12.6802,6.70478,6.54312,3.50938,4.78087,4.41387,2.015,2.24609,8.28564,7.16824,5.0242,11.1485
